@@,name,position
---,Teymur Musayev,Minister of Health of the Republic of Azerbaijan
+++,Yagub Eyyubov,First Deputy Prime Minister
+++,Vusal Huseynov,Chief of the State Migration Service
+++,Tahir Budagov,Chairman of the State Statistics Committee
+++,Shahin Mustafayev,Deputy Prime Minister
+++,Shahin Mustafayev,Deputy Prime Minister
+++,Sahil Babayev,Minister of Labor and Social Protection of Population
+++,Safar Mehdiyev,Chairman of the State Customs Committee
+++,Rovshan Rzayev,Chairman of the State Committee on Refugee and IDP Affairs
+++,Rashad Nabiyev,"Minister of Transport, Communications and High Technologies"
+++,Mubariz Gurbanli,Chairman of the State Committee for Work with Religious Associations
+++,Mikayil Jabbarov,Minister of Economy
+++,Madat Guliyev,Minister of Defense Industry
+++,Inam Karimov,Minister of Agriculture
+++,Bahar Muradova,"Chairperson of the State Committee on Family, Women`s and Children`s Problems"
+++,Azad Rahimov,Minister of Youth and Sport
+++,Anar Quliyev,Chairman of the State Urban Planning and Architecture Committee
+++,Ali Ahmadov,Deputy Prime Minister
